pair_id,source_id,module_id,screen_id,en_activity_id,ne_activity_id,en_sentence_index,ne_sentence_index,en_text,ne_text,alignment_method,alignment_score,quality_bucket,review_status
EPAATH_0001_00001,EPAATH_0001,grade5/math/fractions,data,lesson/objective/title,lesson/objective/title,4,42,Objective:,उदेश्य:,screen_activity_position_length,0.9000,high,needs_manual_review
EPAATH_0001_00002,EPAATH_0001,grade5/math/fractions,data,objective/description/purpose,objective/description/purpose,5,43,To multiply a whole number with a fraction and convert the product to mixed fraction,पूर्ण सङ्ख्यालाई भिन्नसँग गुणन गर्न र गुणनफललाई मिश्रित भिन्नमा परिणत गर्न,screen_activity_position_length,0.9685,high,needs_manual_review
EPAATH_0001_00003,EPAATH_0001,grade5/math/fractions,data,objective/description/purpose,objective/description/purpose,6,44,To multiply any two proper fractions,कुनै दुई उपयुक्त भिन्नहरूको गुणन गर्न,screen_activity_position_length,0.9935,high,needs_manual_review
EPAATH_0001_00004,EPAATH_0001,grade5/math/fractions,data,olenepal/lesson/chapter,olenepal/lesson/chapter,2,40,Fraction,भिन्न,screen_activity_position_length,0.8600,high,needs_manual_review
EPAATH_0001_00005,EPAATH_0001,grade5/math/fractions,data,olenepal/lesson/levelname,olenepal/lesson/levelname,3,41,Level 1,तह १,screen_activity_position_length,0.8250,medium,needs_manual_review
EPAATH_0001_00006,EPAATH_0001,grade5/math/fractions,data,olenepal/lesson/subject,olenepal/lesson/subject,0,38,Maths,गणित,screen_activity_position_length,0.9417,high,needs_manual_review
EPAATH_0001_00007,EPAATH_0001,grade5/math/fractions,data,olenepal/lesson/topic,olenepal/lesson/topic,1,39,Arithmetics-EN,अंक गणित-ने,screen_activity_position_length,0.9364,high,needs_manual_review
EPAATH_0001_00008,EPAATH_0001,grade5/math/fractions,data,olenepal/strings/string,olenepal/strings/string,7,45,Go to the next page,Go to the next page,screen_activity_position_length,1.0000,high,needs_manual_review
EPAATH_0001_00009,EPAATH_0001,grade5/math/fractions,data,olenepal/strings/string,olenepal/strings/string,8,46,Go to another section,Go to another section,screen_activity_position_length,1.0000,high,needs_manual_review
EPAATH_0001_00010,EPAATH_0001,grade5/math/fractions,data,olenepal/strings/string,olenepal/strings/string,9,47,Fractions,भिन्न,screen_activity_position_length,0.8133,medium,needs_manual_review
EPAATH_0001_00011,EPAATH_0001,grade5/math/fractions,data,olenepal/strings/string,olenepal/strings/string,10,48,Under Construction,Under Construction,screen_activity_position_length,1.0000,high,needs_manual_review
