candidate_id,source_id,module_id,grade,subject,subdomain,screen_id,activity_id,record_key,pair_method,candidate_bucket,module_quality_score,module_risk_level,module_quality_flags,review_priority,auto_decision,qa_flags,en_record_text,ne_record_text,en_sentence_index,ne_sentence_index,en_text,ne_text,exclude_reason
EPAATH_grade1__english__basic_sounds_1_candidate_00001,EPAATH_grade1__english__basic_sounds_1,grade1/english/basic_sounds_1,1,english,english_language,overview,lesson/chapter,lesson/chapter,exact_record_key,high_exact_single_sentence,0,high,low_overlap_min;low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs;many_latin_only_ne_pairs,low,likely_reject,latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script;placeholder_text,Basic Sounds (I),Unit is Under Construction,1,1,Basic Sounds (I),Unit is Under Construction,latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script;placeholder_text
EPAATH_grade1__english__basic_sounds_1_candidate_00002,EPAATH_grade1__english__basic_sounds_1,grade1/english/basic_sounds_1,1,english,english_language,overview,lesson/levelname,lesson/levelname,exact_record_key,low_shared_text,0,high,low_overlap_min;low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs;many_latin_only_ne_pairs,low,likely_reject,identical_text;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script,Level 1,Level 1,1,1,Level 1,Level 1,identical_text;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script
EPAATH_grade1__english__basic_sounds_1_candidate_00003,EPAATH_grade1__english__basic_sounds_1,grade1/english/basic_sounds_1,1,english,english_language,overview,lesson/objective/description/purpose,lesson/objective/description/purpose,exact_record_key,high_exact_single_sentence,0,high,low_overlap_min;low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs;many_latin_only_ne_pairs,low,likely_reject,latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script;placeholder_text,To recognize sounds of letters and read words starting from them or words containing the letters,This chapter is in grade 2-6 and is under construction.,1,1,To recognize sounds of letters and read words starting from them or words containing the letters,This chapter is in grade 2-6 and is under construction.,latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script;placeholder_text
EPAATH_grade1__english__basic_sounds_1_candidate_00004,EPAATH_grade1__english__basic_sounds_1,grade1/english/basic_sounds_1,1,english,english_language,overview,lesson/objective/title,lesson/objective/title,exact_record_key,high_exact_single_sentence,0,high,low_overlap_min;low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs;many_latin_only_ne_pairs,low,likely_reject,formula_or_symbolic;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script,Objectives:,"Objective: By the end of this lesson, you will be able to",1,1,Objectives:,"Objective: By the end of this lesson, you will be able to",formula_or_symbolic;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script
EPAATH_grade1__english__basic_sounds_1_candidate_00005,EPAATH_grade1__english__basic_sounds_1,grade1/english/basic_sounds_1,1,english,english_language,overview,lesson/subject,lesson/subject,exact_record_key,high_exact_single_sentence,0,high,low_overlap_min;low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs;many_latin_only_ne_pairs,low,likely_reject,latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script,English,Science,1,1,English,Science,latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script
EPAATH_grade1__english__basic_sounds_1_candidate_00006,EPAATH_grade1__english__basic_sounds_1,grade1/english/basic_sounds_1,1,english,english_language,overview,lesson/topic,lesson/topic,exact_record_key,high_exact_single_sentence,0,high,low_overlap_min;low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs;many_latin_only_ne_pairs,low,likely_reject,formula_or_symbolic;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script,English-EN,Physics-EN,1,1,English-EN,Physics-EN,formula_or_symbolic;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script
EPAATH_grade1__english__basic_sounds_2_candidate_00001,EPAATH_grade1__english__basic_sounds_2,grade1/english/basic_sounds_2,1,english,english_language,overview,lesson/chapter,lesson/chapter,exact_record_key,high_exact_single_sentence,0,high,low_overlap_min;low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs;many_latin_only_ne_pairs,low,likely_reject,latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script;placeholder_text,Basic Sounds (II),Unit is Under Construction,1,1,Basic Sounds (II),Unit is Under Construction,latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script;placeholder_text
EPAATH_grade1__english__basic_sounds_2_candidate_00002,EPAATH_grade1__english__basic_sounds_2,grade1/english/basic_sounds_2,1,english,english_language,overview,lesson/levelname,lesson/levelname,exact_record_key,low_shared_text,0,high,low_overlap_min;low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs;many_latin_only_ne_pairs,low,likely_reject,identical_text;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script,Level 1,Level 1,1,1,Level 1,Level 1,identical_text;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script
EPAATH_grade1__english__basic_sounds_2_candidate_00003,EPAATH_grade1__english__basic_sounds_2,grade1/english/basic_sounds_2,1,english,english_language,overview,lesson/objective/description/purpose,lesson/objective/description/purpose,exact_record_key,high_exact_single_sentence,0,high,low_overlap_min;low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs;many_latin_only_ne_pairs,low,likely_reject,latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script;placeholder_text,To recognize sounds of letters and read words starting from them or words containing the letters,This chapter is in grade 2-6 and is under construction.,1,1,To recognize sounds of letters and read words starting from them or words containing the letters,This chapter is in grade 2-6 and is under construction.,latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script;placeholder_text
EPAATH_grade1__english__basic_sounds_2_candidate_00004,EPAATH_grade1__english__basic_sounds_2,grade1/english/basic_sounds_2,1,english,english_language,overview,lesson/objective/title,lesson/objective/title,exact_record_key,high_exact_single_sentence,0,high,low_overlap_min;low_overlap_max;low_nepali_script;few_content_pairs;no_content_screen_pairs;many_latin_only_ne_pairs,low,likely_reject,formula_or_symbolic;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script,Objectives:,"Objective: By the end of this lesson, you will be able to",1,1,Objectives:,"Objective: By the end of this lesson, you will be able to",formula_or_symbolic;latin_only_nepali;lesson_metadata;module_high_risk;module_low_content_overlap;module_low_coverage;module_low_nepali_script
