candidate_id,source_id,module_id,grade,subject,subdomain,screen_id,activity_id,record_key,pair_method,candidate_bucket,en_sentence_index,ne_sentence_index,en_text,ne_text,manual_label,reviewer,notes
EPAATH_grade5__math__fractions_candidate_00001,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,overview,lesson/chapter,lesson/chapter,exact_record_key,high_exact_single_sentence,1,1,Fraction,भिन्न,,,
EPAATH_grade5__math__fractions_candidate_00002,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,overview,lesson/levelname,lesson/levelname,exact_record_key,high_exact_single_sentence,1,1,Level 1,तह १,,,
EPAATH_grade5__math__fractions_candidate_00003,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,overview,lesson/objective/description/purpose,lesson/objective/description/purpose,exact_record_key,high_exact_single_sentence,1,1,To multiply a whole number with a fraction and convert the product to mixed fraction,पूर्ण सङ्ख्यालाई भिन्नसँग गुणन गर्न र गुणनफललाई मिश्रित भिन्नमा परिणत गर्न,,,
EPAATH_grade5__math__fractions_candidate_00004,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,overview,lesson/objective/description/purpose[2],lesson/objective/description/purpose[2],exact_record_key,high_exact_single_sentence,1,1,To multiply any two proper fractions,कुनै दुई उपयुक्त भिन्नहरूको गुणन गर्न,,,
EPAATH_grade5__math__fractions_candidate_00005,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,overview,lesson/objective/title,lesson/objective/title,exact_record_key,high_exact_single_sentence,1,1,Objective:,उदेश्य:,,,
EPAATH_grade5__math__fractions_candidate_00006,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,overview,lesson/subject,lesson/subject,exact_record_key,high_exact_single_sentence,1,1,Maths,गणित,,,
EPAATH_grade5__math__fractions_candidate_00007,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,overview,lesson/topic,lesson/topic,exact_record_key,high_exact_single_sentence,1,1,Arithmetics-EN,अंक गणित-ने,,,
EPAATH_grade5__math__fractions_candidate_00013,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,page1,p1text1,strings/string#id=p1text1,exact_record_key,high_exact_single_sentence,1,1,How many sweets are here?,यहाँ कतिओटा मिठाईहरू छन्?,,,
EPAATH_grade5__math__fractions_candidate_00017,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,page1,p1text13,strings/string#id=p1text13,exact_record_key,high_exact_single_sentence,1,1,::5_/_3;; also means 5 ÷ 3:,::5_/_3;; अथवा 5 ÷ 3:,,,
EPAATH_grade5__math__fractions_candidate_00018,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,page1,p1text14,strings/string#id=p1text14,exact_record_key,high_exact_single_sentence,1,1,Let us multiply ::1_/_3;; with 14.,अब हामी 14 लाई ::1_/_3;; सँग गुणन गरी हेरौँ।,,,
EPAATH_grade5__math__fractions_candidate_00021,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,page1,p1text2,strings/string#id=p1text2,exact_record_key,high_exact_single_sentence,1,1,Let us find half of 18 or the result of multiplying ::1_/_2;; with 18.,अब हामी 18 को आधा #अथवा@ 18 लाई ::1_/_2;; सँग गुणन गर्दा कति हुँदो रहेछ #हेरौँ@।,,,
EPAATH_grade5__math__fractions_candidate_00023,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,page1,p1text4,strings/string#id=p1text4,exact_record_key,high_exact_single_sentence,1,1,"Now, let us find one third of 18 or the result of multiplying ::1_/_3;; with 18.",अब हामी 18 को एक तिहाइ अथवा 18 लाई ::1_/_3;; सँग गुणन गर्दा कति हुँदो रहेछ हेरौँ।,,,
EPAATH_grade5__math__fractions_candidate_00025,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,page1,p1text6,strings/string#id=p1text6,exact_record_key,high_exact_single_sentence,1,1,Multiplying a fraction with a whole number means multiplying the whole number with the numerator keeping denominator the same.,भिन्नलाई पूर्ण सङ्ख्याले गुणन गर्दा पूर्ण सङ्ख्याले भिन्नको अंशलाई गुणन गरी हरलाई उही राख्नुपर्छ।,,,
EPAATH_grade5__math__fractions_candidate_00027,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,page1,p1text8,strings/string#id=p1text8,exact_record_key,high_exact_single_sentence,1,1,"If the result is improper, then it should be converted into mixed fraction.",यसरी आउने भिन्न अनुपयुक्त भिन्न भए सो भिन्नलाई मिश्रित सङ्ख्यामा व्यक्त गर्नुपर्छ।,,,
EPAATH_grade5__math__fractions_candidate_00029,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,page2,p2text1,strings/string#id=p2text1,exact_record_key,high_exact_single_sentence,1,1,Enter a natural number:,प्राकृतिक सङ्ख्या राख:,,,
EPAATH_grade5__math__fractions_candidate_00030,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,page2,p2text2,strings/string#id=p2text2,exact_record_key,high_exact_single_sentence,1,1,Enter a proper fraction:,उपयुक्त भिन्न राख,,,
EPAATH_grade5__math__fractions_candidate_00031,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,page2,p2text3,strings/string#id=p2text3,exact_record_key,high_exact_single_sentence,1,1,Product = a x :: b _/_ c ;; =,गुणनफल = a x :: b _/_ c ;; =,,,
EPAATH_grade5__math__fractions_candidate_00032,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,page2,p2text4,strings/string#id=p2text4,exact_record_key,high_exact_single_sentence,1,1,Product = a x :: b _/_ c ;; = ::# b @_/_# c @;; =,गुणनफल = a x :: b _/_ c ;; = ::# b @_/_# c @;; =,,,
EPAATH_grade5__math__fractions_candidate_00036,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,page2,p2text8,strings/string#id=p2text8,exact_record_key,high_exact_single_sentence,1,1,numerator must be less than denominator,अंशभन्दा हर ठुलो हुनुपर्छ,,,
EPAATH_grade5__math__fractions_candidate_00045,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,page2,pctext2,strings/string#id=pctext2,exact_record_key,high_exact_single_sentence,1,1,Submit,पेश गर,,,
EPAATH_grade5__math__fractions_candidate_00048,EPAATH_grade5__math__fractions,grade5/math/fractions,5,math,mathematics,page2,phint,strings/string#id=phint,exact_record_key,high_exact_single_sentence,1,1,Hint:,सुझाव:,,,
